N° C.,Extension,Autres n°,Appellation,Position,Pays,"Province  (Tỉnh, Thành Phố)",District (Huyện ou Thì xã),Commune  (Xã),Village  (Thôn),Localisation inv. 2009-,Localisation inv. 1923-1942,Support,Indice,Lignes,Langue,Dimensions de l'objet (h/l/p) en cm sauf autre mention,"Epoque (ère śaka, etc.)",Epoque (cal. julien),Estampage(s) EFEO,Estampage(s) BnF,Photos estampages EFEO,Photo(s) EFEO,Bibliographie principale (édition),Bibliographie secondaire,Notes,Légende,,
89,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,NTBMS 03MSD: 316,In situ,Stèle,c,11,ch.,202/60/19,1010,,312 ; n. 333,,,,"BEFEO IV, 946xvi.","P., 400.","coquille Cœdès 940 pour 946; confusion Finot des faces A+B entre préambule et édition, plus fausse identification comme 'dalle'. Une des petites faces complètement dépourvues de lettres sous inscpection à même la pierre; l'autre extraordinairement effacée, c.-à-d. donnant l'impression de ne pas être inscrite du tout (mais quelques lettre se devinent encore). Le jeu d'est. EFEO soit incomplet, soit confusion dans inv. de 1923, et les 11 lignes de c comprises dans les 36 de B, auquel cas d devient c.",,,
89,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,NTBMS 03MSD: 316,In situ,Stèle,d,24,ch.,202/60/19,1010,,312 ; n. 333,,,,"BEFEO IV, 946xvi.","P., 400.","coquille Cœdès 940 pour 946; confusion Finot des faces A+B entre préambule et édition, plus fausse identification comme 'dalle'. Une des petites faces complètement dépourvues de lettres sous inscpection à même la pierre; l'autre extraordinairement effacée, c.-à-d. donnant l'impression de ne pas être inscrite du tout (mais quelques lettre se devinent encore). Le jeu d'est. EFEO soit incomplet, soit confusion dans inv. de 1923, et les 11 lignes de c comprises dans les 36 de B, auquel cas d devient c.",,,
90,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21176,"Hanoi : B 2, 5",Stèle,d1,4,ch.,180+/61/31,1003,,36 ; n. 133,(445) 77,,,"BEFEO IV, 933xii.","BEFEO XV (2), 6. — P., 400.","sous « situation actuelle », Cœdès notait In situ, mais le tableau de concordance pour le Musée Louis Finot marquait bien B 2, 5.",,,
90,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21176,"Hanoi : B 2, 5",Stèle,A2,5,ch.,180+/61/31,1003,,36 ; n. 133,(445) 77,,,"BEFEO IV, 933xii.","BEFEO XV (2), 6. — P., 400.","sous « situation actuelle », Cœdès notait In situ, mais le tableau de concordance pour le Musée Louis Finot marquait bien B 2, 5.",,,
90,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21176,"Hanoi : B 2, 5",Stèle,A1,20,sk.,180+/61/31,1003,,36 ; n. 133,(445) 77,,,"BEFEO IV, 933xii.","BEFEO XV (2), 6. — P., 400.","sous « situation actuelle », Cœdès notait In situ, mais le tableau de concordance pour le Musée Louis Finot marquait bien B 2, 5.",,,
90,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21176,"Hanoi : B 2, 5",Stèle,d2,24,ch.,180+/61/31,1003,,36 ; n. 133,(445) 77,,,"BEFEO IV, 933xii.","BEFEO XV (2), 6. — P., 400.","sous « situation actuelle », Cœdès notait In situ, mais le tableau de concordance pour le Musée Louis Finot marquait bien B 2, 5.",,,
90,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21176,"Hanoi : B 2, 5",Stèle,b,27,ch.,180+/61/31,1003,,36 ; n. 133,(445) 77,,,"BEFEO IV, 933xii.","BEFEO XV (2), 6. — P., 400.","sous « situation actuelle », Cœdès notait In situ, mais le tableau de concordance pour le Musée Louis Finot marquait bien B 2, 5.",,,
90,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21176,"Hanoi : B 2, 5",Stèle,c,27,ch.,180+/61/31,1003,,36 ; n. 133,(445) 77,,,"BEFEO IV, 933xii.","BEFEO XV (2), 6. — P., 400.","sous « situation actuelle », Cœdès notait In situ, mais le tableau de concordance pour le Musée Louis Finot marquait bien B 2, 5.",,,
91,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Socle,,2,ch.,,1062,,314 ; n. 336,,,,"BEFEO IV, 954xix.","P., 400.",,,,
92,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,NTBMS 03MSD: 318/ Đ.318,In situ,Stèle,c2,5,ch.,149/84/44,1125,,313 ; n. 340,,,,"BEFEO IV, 970xxiv.","BEFEO XV (2), 50. — P., 400.",la lecture de la date que propose Finot est fausse. Il faut restaurer bhuuta.h pak.sa e[ka] eka = 1125,,,
92,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,NTBMS 03MSD: 318/ Đ.318,In situ,Stèle,c1,10,ch.,149/84/44,1116,,313 ; n. 340,,,,"BEFEO IV, 970xxiv.","BEFEO XV (2), 50. — P., 400.",,,,
92,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,NTBMS 03MSD: 318/ Đ.318,In situ,Stèle,B,invocation + 23,ch.,149/84/44,1092,,313 ; n. 340,,,,"BEFEO IV, 970xxiv.","BEFEO XV (2), 50. — P., 400.",,,,
92,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,NTBMS 03MSD: 318/ Đ.318,In situ,Stèle,A,invocation + 21,ch.,149/84/44,,,313 ; n. 340,,,,"BEFEO IV, 970xxiv.","BEFEO XV (2), 50. — P., 400.",,,,
93,,,,Monument E1,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21174,"Hanoi : B 2, 7",Piédroit,,19,sk.,145+/52/32,XIe,,41 ; n. 135,(441) 77,,,"BEFEO IV, 940xiii.","BEFEO XV (2), 7. — P., 419.",,,,
94,,,,Monument E1,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21172,"Hanoi : B 2, 9",Piédroit,B,20,ch.,189+/51/50,XIe,,39 ; n. 137,(440) 77,,,"BEFEO IV, 941xiv.","BEFEO XV (2), 7. — P., 419.",incohérence entre nom attribué par BTLSH et inv. 1942,,,
94,,,,Monument E1,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21172,"Hanoi : B 2, 9",Piédroit,A,21,ch.,189+/51/50,XIe,,39 ; n. 137,(440) 77,,,"BEFEO IV, 941xiv.","BEFEO XV (2), 7. — P., 419.",incohérence entre nom attribué par BTLSH et inv. 1942,,,
95,,,,Monument E1,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21173,"Hanoi : B 2, 8",Piédroit,A,22,ch.,143+/52/50,XIe,,40 ; n. 136,(439) 77,,,"BEFEO IV, 943xv.","BEFEO XV (2), 7. — P., 420.",le piédroit a largement été décapité par rapport à son état enregistré dans la forme des estampages EFEO; un fragment (inventorié sous le même no. dans le musée) comportant l'extrémité gauche du haut de la face B (lignes 1-6) est tout ce qui semble rester de la partie supérieure du piédroit.,,,
95,,,,Monument E1,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21173,"Hanoi : B 2, 8",Piédroit,B,22,ch.,143+/52/50,XIe,,40 ; n. 136,(439) 77,,,"BEFEO IV, 943xv.","BEFEO XV (2), 7. — P., 420.",le piédroit a largement été décapité par rapport à son état enregistré dans la forme des estampages EFEO; un fragment (inventorié sous le même no. dans le musée) comportant l'extrémité gauche du haut de la face B (lignes 1-6) est tout ce qui semble rester de la partie supérieure du piédroit.,,,
96,,,,derrière Monument E1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle ruinée,A,27,sk.,,579,,341 ; n. 163,,,,"BEFEO IV, 918iii.","BEFEO XII (8), 15 ; XV (2), 188. — P., 419.",,,,
96,,,,derrière Monument E1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle ruinée,B,28,sk.,,579,,341 ; n. 163,,,,"BEFEO IV, 918iii.","BEFEO XII (8), 15 ; XV (2), 188. — P., 419.",,,,
97,,,,Temple E,Vietnam,Quảng Nam,,,Mỹ Sơn,In situ,In situ,Piédestal,,1,sk.,,VIIe,,342 ; n. 331,,,,"BEFEO IV, 930viii.","P., 419.",Estampage 342 manque à Paris.,,,
98,,,,Temple E,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Fragments inscrits de quelques lettres,,,(?),,,,335,,,,,"BEFEO IV, 977xxvi.","photos de l'estampage dLdL faites. Selon l'est., ""le long du mur sud"".",,,
99,,,,Temple F,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle,B,22 illisibles,sk.,,VIIe,,332 ; n. 166,,,,"BEFEO IV, 930ix.","P., 427.",,,,
99,,,,Temple F,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle,A,invocation + 18,sk.,,VIIe,,332 ; n. 166,,,,"BEFEO IV, 930ix.","P., 427.",,,,
100,,,,Monument G5,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle,A,19,sk.,,1079,,311 ; n. 337,,,,"BEFEO IV, 930ix.","P., 427.",,,,
100,,,,Monument G5,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle,B1,22,sk.,,1079,,311 ; n. 337,,,,"BEFEO IV, 930ix.","P., 427.",,,,
100,,,,Monument G5,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle,B2,2,ch.,,1079,,311 ; n. 337,,,,"BEFEO IV, 930ix.","P., 427.",,,,
100,,,,Monument G5,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle,c,25,ch.,,1079,,311 ; n. 337,,,,"BEFEO IV, 930ix.","P., 427.",,,,
101,,,,Temple G,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21152,"Hanoi : B 2, 6",Stèle,A,20,ch.,170+/75/32,XIe,,38 ; n. 314,444 (77),,,"BEFEO IV, 963xxi.","BEFEO XV (2), 6. — P., 433.",incohérence entre nom attribué par BTLSH et inv. 1942,,,
101,,,,Temple G,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21152,"Hanoi : B 2, 6",Stèle,B,21,ch.,170+/75/32,XIe,,38 ; n. 314,444 (77),,,"BEFEO IV, 963xxi.","BEFEO XV (2), 6. — P., 433.",incohérence entre nom attribué par BTLSH et inv. 1942,,,
101,,,,Temple G,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21152,"Hanoi : B 2, 6",Stèle,c,9 illisibles,ch.,170+/75/32,XIe,,38 ; n. 314,444 (77),,,"BEFEO IV, 963xxi.","BEFEO XV (2), 6. — P., 433.",incohérence entre nom attribué par BTLSH et inv. 1942,,,
102,,,,,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ et à Tourane,Fragments en terre cuite,,,(?),,,,343,,,,,"BEFEO IV, 977xxvi.","photos des estampages dLdL faites ; selon la photo, il s'agit de 4 inscriptions probablement identifiable parmi, ou appartenant au même type que celui des objets en terre cuite (re)trouvés à G1",,,
103,,,,,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Bloc conique,,quelques mots,(?),,,,344(0); n. 1075???,,,,,"BEFEO IV, 977xxvi.","Cœdès 1923, p. 151 n. 6 : « C. 103. — Un certain nombre de débris d'estampages de Mĩ-sơn sont groupés sous la cote 344 bis. » Photos des estampages dLdL faites.",,,
104,,,,,Vietnam,Quảng Nam,,,An-thinh,,In situ,Roc,,,(?),,,,"346, 780 ; n. 275",,,,,"P., 286.",site inconnu,,,
105,,,,,Vietnam,Quảng Nam,,,Gánh Cụp,,In situ,Roc,,1 1/2,sk.,,Ve,,35,433 (77),,,"BEFEO II, 186.","JA 1896 (1), 149. — P., 308.","L'orthographe Hòn-cụt pour le site est sans doute une erreur. La photo de la Fondation Lerici publiée Champa and the Archaeology of My Son, p. 198, n'appartient pas a cette inscription mais a C. 147.",,,
106,,,,,Vietnam,Quảng Nam,,,Bàn-lãnh,BTLS Hanoi LSb 21183,"Hanoi : B 2, 30",Stèle,B1,4 1/2,ch.,144+/71/24,820,,338 ; n. 158,,,,"BEFEO IV, 99.","BEFEO III, 526 ; IX, 297 n. ; XV (2), 17. — P., 308.",,,,
106,,,,,Vietnam,Quảng Nam,,,Bàn-lãnh,BTLS Hanoi LSb 21183,"Hanoi : B 2, 30",Stèle,B2,5 1/2,sk.,144+/71/24,820,,338 ; n. 158,,,,"BEFEO IV, 99.","BEFEO III, 526 ; IX, 297 n. ; XV (2), 17. — P., 308.",,,,
106,,,,,Vietnam,Quảng Nam,,,Bàn-lãnh,BTLS Hanoi LSb 21183,"Hanoi : B 2, 30",Stèle,A2,6,ch.,144+/71/24,820,,338 ; n. 158,,,,"BEFEO IV, 99.","BEFEO III, 526 ; IX, 297 n. ; XV (2), 17. — P., 308.",,,,
106,,,,,Vietnam,Quảng Nam,,,Bàn-lãnh,BTLS Hanoi LSb 21183,"Hanoi : B 2, 30",Stèle,B3,9    ,ch.,144+/71/24,820,,338 ; n. 158,,,,"BEFEO IV, 99.","BEFEO III, 526 ; IX, 297 n. ; XV (2), 17. — P., 308.",,,,
106,,,,,Vietnam,Quảng Nam,,,Bàn-lãnh,BTLS Hanoi LSb 21183,"Hanoi : B 2, 30",Stèle,c,11    ,ch.,144+/71/24,820,,338 ; n. 158,,,,"BEFEO IV, 99.","BEFEO III, 526 ; IX, 297 n. ; XV (2), 17. — P., 308.",,,,
106,,,,,Vietnam,Quảng Nam,,,Bàn-lãnh,BTLS Hanoi LSb 21183,"Hanoi : B 2, 30",Stèle,A1,invocation + 9,sk.,144+/71/24,820,,338 ; n. 158,,,,"BEFEO IV, 99.","BEFEO III, 526 ; IX, 297 n. ; XV (2), 17. — P., 308.",,,,
107,,,Stèle de Lạc Thành,,Vietnam,Quảng Nam,Điện Bàn (thì xã),Điện Hồng,Lạc Thành,Băng An (encastrée dans autel moderne en ciment devant tour came),In situ,Stèle usée,c,16,sk.,183+/103/50,XIe,,280; n. 2133-2138,,,,,"P., 310. — BEFEO XI, 285.",,,,
107,,,Stèle de Lạc Thành,,Vietnam,Quảng Nam,Điện Bàn (thì xã),Điện Hồng,Lạc Thành,Băng An (encastrée dans autel moderne en ciment devant tour came),In situ,Stèle usée,d,21,ch.,183+/103/50,XIe,,280; n. 2133-2138,,,,,"P., 310. — BEFEO XI, 285.",plutot invoc. + 17 ou 18 l.? ,,,
107,,,Stèle de Lạc Thành,,Vietnam,Quảng Nam,Điện Bàn (thì xã),Điện Hồng,Lạc Thành,Băng An (encastrée dans autel moderne en ciment devant tour came),In situ,Stèle usée,A1,15,sk.,183+/103/50,832,,280; n. 2133-2138,,,,,"P., 310. — BEFEO XI, 285.","plutot invoc. + 14 l.? Définition Cœdès du support comme ""stèle ruinée"" ne convient pas.",,,
107,,,Stèle de Lạc Thành,,Vietnam,Quảng Nam,Điện Bàn (thì xã),Điện Hồng,Lạc Thành,Băng An (encastrée dans autel moderne en ciment devant tour came),In situ,Stèle usée,A2,7,ch.,183+/103/50,832,,280; n. 2133-2138,,,,,"P., 310. — BEFEO XI, 285.",,,,
107,,,Stèle de Lạc Thành,,Vietnam,Quảng Nam,Điện Bàn (thì xã),Điện Hồng,Lạc Thành,Băng An (encastrée dans autel moderne en ciment devant tour came),In situ,Stèle usée,B,22,"sk., ch.",183+/103/50,832,,280; n. 2133-2138,,,,,"P., 310. — BEFEO XI, 285.",plutot invoc. + 21 l.?,,,
108,,,,,Vietnam,Quảng Nam,Điện Bàn,Điện Thắng,Bồ Mưng,BTLS Hanoi 21159,"Hanoi : B 2, 22",Stèle,d,9,ch.,77+/64/14 cm,Postérieure à la précédente inscription.,,"42 ; n. 95, n. 150, n. 1845",436 (78),,,"BEFEO IX, 269.","JA 1896 (1), 150. — BGHD 1896, 93. — BEFEO XV (2), 12. — P., 316.",Peut-être la datation « Postérieure à la précédente inscription » n'appartient qu'à C. 108e. – le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.,,,
108,,,,,Vietnam,Quảng Nam,Điện Bàn,Điện Thắng,Bồ Mưng,BTLS Hanoi 21159,"Hanoi : B 2, 22",Stèle,e,2+2,ch.,77+/64/14 cm,Postérieure à la précédente inscription.,,"42 ; n. 95, n. 150, n. 1845",436 (78),,,"BEFEO IX, 269.","JA 1896 (1), 150. — BGHD 1896, 93. — BEFEO XV (2), 12. — P., 316.",le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.,,,
108,,,,,Vietnam,Quảng Nam,Điện Bàn,Điện Thắng,Bồ Mưng,BTLS Hanoi 21159,"Hanoi : B 2, 22",Stèle,A,invocation + 12,sk.,77+/64/14 cm,811,,"42 ; n. 95, n. 150",436 (78),,,"BEFEO IX, 269.","JA 1896 (1), 150. — BGHD 1896, 93. — BEFEO XV (2), 12. — P., 316.",le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.,,,
108,,,,,Vietnam,Quảng Nam,Điện Bàn,Điện Thắng,Bồ Mưng,BTLS Hanoi 21159,"Hanoi : B 2, 22",Stèle,B1,2,sk.,77+/64/14 cm,811,,"42 ; n. 95, n. 150, n. 1845",436 (78),,,"BEFEO IX, 269.","JA 1896 (1), 150. — BGHD 1896, 93. — BEFEO XV (2), 12. — P., 316.",le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.,,,
108,,,,,Vietnam,Quảng Nam,Điện Bàn,Điện Thắng,Bồ Mưng,BTLS Hanoi 21159,"Hanoi : B 2, 22",Stèle,B2,10,ch.,77+/64/14 cm,811,,"42 ; n. 95, n. 150, n. 1845",436 (78),,,"BEFEO IX, 269.","JA 1896 (1), 150. — BGHD 1896, 93. — BEFEO XV (2), 12. — P., 316.",le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.,,,
108,,,,,Vietnam,Quảng Nam,Điện Bàn,Điện Thắng,Bồ Mưng,BTLS Hanoi 21159,"Hanoi : B 2, 22",Stèle,c,11,ch.,77+/64/14 cm,811,,"42 ; n. 95, n. 150, n. 1845",436 (78),,,"BEFEO IX, 269.","JA 1896 (1), 150. — BGHD 1896, 93. — BEFEO XV (2), 12. — P., 316.",le jeu de photos d'estampages est incomplet; à cause du montage de la stèle dans la réserve du BTLS Hanoi les lignes inférieures sur trois faces sont cachées.,,,
109,,,,,Vietnam,Thừa Thiên Huế,Phú Lộc,Vinh Hiền,Hiền Àn (làng) / Phú An (nom ancien),Linh Thái (núi),In situ,Piédroit,,environ 36 lignes illisibles sur 3 faces,ch.,172/38/39,XIIIe,,273,,,,,"P., 511.",nous ne comptons pas 40 mais plutôt 36/37 lignes par face,,,
110,,,,,Vietnam,Thừa Thiên Huế,Phú Lộc,Vinh Hiền,Hiền Àn (làng) / Phú An (nom ancien),Linh Thái (núi),In situ,Piédroit,,environ 38 lignes sur la face A; un nombre à peu près pareil sur la face B (illisible),ch.,172/33-36/38,XIIIe,,274; n. 2363,,,,,"BEFEO XI, 260 n. — P., 511.","la date 1111 lue par Huber est fort probablement un fantôme; Huber a probablement vu un chiffre donnant une quantité de jāk et l'a mal interprété comme date; l'estampage 274 saute les 4 premières lignes. Nous n'avons trouvé que 2 faces inscrites, pas 3. Seule la face ant. figure sur l'estampage; la face lat. inscrite est totalement illsible.",,,
111,,,,,Vietnam,Thừa Thiên Huế,TP. Huế,XXX,temple de Dinh Thị,BTLS Hanoi 42275,"Hanoi : B 2, 35",Fragment réemployé de stèle,,7,sk.,45+/45/15,VIe,,n. 179,,EFEOB-est.n0179.jpg,,"BEFEO XI, 259.","BEFEO V, 193 ; XV (2), 18. — P., 515.",,,,
112,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Thành,Phú Lương (láng),In situ,In situ,"Stèle, partiellement abîmée",B2,7,ch.,,830,,43 ; n. 2369,447 (78),,,"BEFEO XI, 283.","JA 1898 (2), 360. — P., 515. — Nguyễn Văn Quảng 2012: 68.",,,,
112,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Thành,Phú Lương (láng),In situ,In situ,"Stèle, partiellement abîmée",B1,9,sk.,,830,,43 ; n. 2369,447 (78),,,"BEFEO XI, 283.","JA 1898 (2), 360. — P., 515. — Nguyễn Văn Quảng 2012: 68.",,,,
112,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Thành,Phú Lương (láng),In situ,In situ,"Stèle, partiellement abîmée",A,18,sk.,,IXe,,43 ; n. 2368,447 (78),,,"BEFEO XI, 283.","JA 1898 (2), 360. — P., 515. — Nguyễn Văn Quảng 2012: 68.",,,,
112,,,,,Vietnam,Thừa Thiên Huế,Quảng Điền,Quảng Thành,Phú Lương (láng),In situ,In situ,"Stèle, partiellement abîmée",c,14,ch.,,IX,,n. 2370 ; n. 2371,,,,,,Face latérale non inventoriée par Parmentier et Cœdès. Estampage en double.,,,
113,,,,,Vietnam,Quảng Trị,Gio Linh,Gio Châu,Hà Trung (làng),In situ,In situ,Pilier,E2,10,ch.,h:162 (face entière),838,,44,448 (78),,,,"BGHD 1898, 250. — JA 1898 (2), 357. — BEFEO XI, 298; XXIII, 274. — P., 541.",10 lignes plutôt que 11 (inv.),,,
113,,,,,Vietnam,Quảng Trị,Gio Linh,Gio Châu,Hà Trung (làng),In situ,In situ,Pilier,N2,10,ch.,h:160 (face entière),838,,44 ; n. 2383-2384,448 (78),,,,"BGHD 1898, 250. — JA 1898 (2), 357. — BEFEO XI, 298; XXIII, 274. — P., 541.",,,,
113,,,,,Vietnam,Quảng Trị,Gio Linh,Gio Châu,Hà Trung (làng),In situ,In situ,Pilier,O,20,sk.,h:159 (face entière),838,,44 ; n. 2379,448 (78),,,,"BGHD 1898, 250. — JA 1898 (2), 357. — BEFEO XI, 298; XXIII, 274. — P., 541.",aucun ligne en cam (plutôt que les 7 de l'inv.),,,
113,,,,,Vietnam,Quảng Trị,Gio Linh,Gio Châu,Hà Trung (làng),In situ,In situ,Pilier,N1,19,sk.,h:160 (face entière),838,,44 ; n. 2382,448 (78),,,,"BGHD 1898, 250. — JA 1898 (2), 357. — BEFEO XI, 298; XXIII, 274. — P., 541.",,,,
113,,,,,Vietnam,Quảng Trị,Gio Linh,Gio Châu,Hà Trung (làng),In situ,In situ,Pilier,E1,18,sk.,h:162 (face entière),838,,44,448 (78),,,,"BGHD 1898, 250. — JA 1898 (2), 357. — BEFEO XI, 298; XXIII, 274. — P., 541.",Nos estampages ne permettent pas encore de nous exprimer avec confiance sur e nombre de lignes en sanskrit.,,,
113,,,,,Vietnam,Quảng Trị,Gio Linh,Gio Châu,Hà Trung (làng),In situ,In situ,Pilier,S,43,ch.,h:170,838,,"44 ; n. 2380 (haut), 2381 (bas)",448 (78),,,,"BGHD 1898, 250. — JA 1898 (2), 357. — BEFEO XI, 298; XXIII, 274. — P., 541.",,,,
114,,,,,Vietnam,Quảng Bình,Bố Trạch,Sơn Trạch,Phong Nha (làng) ,"In situ, grotte Phong Nha",In situ,97 inscriptions dans une branche de la grotte,,,(?),,1031,,45,,,,,"JA 1888 (1), 44. — Bull. Soc. acad. indoch. II, 7. — Congrès de Hanoi, 99. — Rev. fr. de l'étranger 1885 (2), 476. — BGHD 1897, 391. — BEFEO XV (2), 121. — P., 545. — BEFEO XXXVIII, 412-413.",l'inv. de Cœdès parle à tort de grottes au pluriel; il y a une section d'une grotte où des inscriptions ont été retrouvées. — La date 1031 ne correspond pas aux dates que nous avons vues.,,,
115,,,,,Vietnam,Quảng Bình,Tuyên Hòa,Phong Hòa,Lạc Sơn ou Minh-ầm,,In situ,36 inscriptions dans les grottes,,,(?),,,,46,,,,,"Congrès de Hanoi, 99. — BGHD 1897, 391. — BEFEO I, 409 ; XV (2), 121 n. 3. — P., 549.",,,,
116,,,,,Vietnam,Đắk Lắk ,Ea Súp,,Yang Praong,,In situ,Piédroit nord,2,21,ch.,,XIIIe,,349,,,,,"BEFEO I, 409 ; IV, 534. — P., 559. — BEFEO XXXVIII, 415.","formerly a part of Kontum province, and listed as such by Cœdès — the EFEO estampage n. 1164 does not seem to cover this face.",,,
116,,,,,Vietnam,Đắk Lắk ,Ea Súp,,Yang Praong,,In situ,Piédroit nord,1,32,ch.,,XIIIe,,349,,,,,"BEFEO I, 409 ; IV, 534. — P., 559. — BEFEO XXXVIII, 415.","formerly a part of Kontum province, and listed as such by Cœdès — the EFEO estampage n. 1164 does not seem to cover this face.",,,
116,,,,,Vietnam,Đắk Lắk ,Ea Súp,,Yang Praong,,In situ,Piédroit sud,,33,ch.,,XIIIe,,350 ; n. 1164,,,,,"BEFEO I, 409 ; IV, 534. — P., 559. — BEFEO XXXVIII, 415.",only this doorjamb is covered by EFEO estampage n. 1164.,,,
117,,,,,Laos,Kon-tum,,,Ban Metruot,,(?),Peṣaṇī,,1 mot,ch.,,,,,,,,"BEFEO IV, 678.","P., 556.","Pourquoi Cœdès 1923 attribue cette inscription à Kontum? Probablement une erreur, ou simplication, toutes les découvertes dans les hauts plateaux ayant été attribués à Kon-tum. Porte & Soutif n'ont pas vu cette pièce à Kratie.",,,
118,,,,,Vietnam,Khánh Hoà,,,Po Nagar de Nha Trang,BTLS HCMV 1302,"Hanoi : D 22, 15",Couvercle ou bol de cuivre,,1,ch.,,1179,,,,,,"JA 1906 (1), 517. — BEFEO VI, 291, n. 2 ; XV (2), 191, 192. — Schweyer 2005 a, p. 107.","P., 132. — Baptiste & Zéphir 2005, p. 297-298,
avec bonne illustration. — BEFEO 95-96, 475-476.",,,,
119,,,,,Vietnam,Ninh Thuận,,,Po Klaong Girai,,In situ,Inscription rupestre,A1,2 1/2,sk.,,972,,"562, 563",,,,"BEFEO IX, 205.","JA 1908 (2), 331. — BEFEO VIII, 286 ; XV (2), 40. — P., 95. — T'oung Pao 1911, 236.",,,,
119,,,,,Vietnam,Ninh Thuận,,,Po Klauṅ Garai,,In situ,Inscription rupestre,A2,4 1/2,ch.,,972,,"562, 563",,,,"BEFEO IX, 205.","JA 1908 (2), 331. — BEFEO VIII, 286 ; XV (2), 40. — P., 95. — T'oung Pao 1911, 236.",,,,
119,,,,,Vietnam,Ninh Thuận,,,Po Klaong Girai,,In situ,Inscription rupestre,B,5    ,sk.,,972,,"562, 563",,,,"BEFEO IX, 205.","JA 1908 (2), 331. — BEFEO VIII, 286 ; XV (2), 40. — P., 95. — T'oung Pao 1911, 236.",,,,
120,,,,,Vietnam,Ninh Thuận,,,Po Klaong Girai,non trouvée,In situ,Inscription rupestre,B1,2 1/2,sk.,,972,,"564, 565 (ces deux estampages semblent être perdus)",,,,"BEFEO IX, 205.","JA 1908 (2), 331. — BEFEO VIII, 286 ; XV (2), 40. — P., 95. — T'oung Pao 1911, 236.",,,,
120,,,,,Vietnam,Ninh Thuận,,,Po Klaong Girai,non trouvée,In situ,Inscription rupestre,A,3,sk.,,972,,"564, 565 (ces deux estampages semblent être perdus)",,,,"BEFEO IX, 205.","JA 1908 (2), 331. — BEFEO VIII, 286 ; XV (2), 40. — P., 95. — T'oung Pao 1911, 236.",,,,
120,,,,,Vietnam,Ninh Thuận,,,Po Klaong Girai,non trouvée,In situ,Inscription rupestre,B2,3 1/2,ch.,,972,,"564, 565 (ces deux estampages semblent être perdus)",,,,"BEFEO IX, 205.","JA 1908 (2), 331. — BEFEO VIII, 286 ; XV (2), 40. — P., 95. — T'oung Pao 1911, 236.",,,,
